,z,t,theta_train,psi_train
0,60.0,0.1,0.4296,-0.65
1,60.0,0.102,0.4296,-0.659
2,60.0,0.103,0.4296,-0.663
3,60.0,0.105,0.4296,-0.672
4,60.0,0.106,0.4296,-0.677
5,60.0,0.108,0.4296,-0.686
6,60.0,0.11,0.4296,-0.695
7,60.0,0.111,0.4296,-0.699
8,60.0,0.113,0.4296,-0.708
9,60.0,0.115,0.4296,-0.717
10,60.0,0.116,0.4296,-0.721
11,60.0,0.118,0.4296,-0.729
12,60.0,0.12,0.4296,-0.738
13,60.0,0.122,0.4296,-0.747
14,60.0,0.124,0.4295,-0.755
15,60.0,0.126,0.4295,-0.764
16,60.0,0.128,0.4295,-0.773
17,60.0,0.13,0.4295,-0.782
18,60.0,0.132,0.4295,-0.791
19,60.0,0.134,0.4295,-0.8
20,60.0,0.136,0.4295,-0.81
21,60.0,0.138,0.4295,-0.819
22,60.0,0.14,0.4295,-0.828
23,60.0,0.142,0.4295,-0.837
24,60.0,0.144,0.4295,-0.846
25,60.0,0.146,0.4294,-0.855
26,60.0,0.149,0.4294,-0.868
27,60.0,0.151,0.4294,-0.877
28,60.0,0.153,0.4294,-0.886
29,60.0,0.156,0.4294,-0.899
30,60.0,0.158,0.4294,-0.908
31,60.0,0.16,0.4294,-0.916
32,60.0,0.163,0.4294,-0.929
33,60.0,0.165,0.4294,-0.938
34,60.0,0.168,0.4293,-0.951
35,60.0,0.17,0.4293,-0.96
36,60.0,0.173,0.4293,-0.974
37,60.0,0.176,0.4293,-0.987
38,60.0,0.178,0.4293,-0.996
39,60.0,0.181,0.4293,-1.01
40,60.0,0.184,0.4293,-1.023
41,60.0,0.187,0.4293,-1.037
42,60.0,0.19,0.4292,-1.05
43,60.0,0.193,0.4292,-1.064
44,60.0,0.195,0.4292,-1.073
45,60.0,0.198,0.4292,-1.086
46,60.0,0.202,0.4292,-1.103
47,60.0,0.205,0.4292,-1.116
48,60.0,0.208,0.4291,-1.129
49,60.0,0.211,0.4291,-1.142
50,60.0,0.214,0.4291,-1.155
51,60.0,0.217,0.4291,-1.167
52,60.0,0.221,0.4291,-1.185
53,60.0,0.224,0.4291,-1.197
54,60.0,0.228,0.429,-1.215
55,60.0,0.231,0.429,-1.228
56,60.0,0.235,0.429,-1.245
57,60.0,0.238,0.429,-1.258
58,60.0,0.242,0.429,-1.276
59,60.0,0.246,0.4289,-1.293
60,60.0,0.249,0.4289,-1.306
61,60.0,0.253,0.4289,-1.324
62,60.0,0.257,0.4289,-1.341
63,60.0,0.261,0.4289,-1.358
64,60.0,0.265,0.4288,-1.375
65,60.0,0.269,0.4288,-1.392
66,60.0,0.273,0.4288,-1.409
67,60.0,0.277,0.4288,-1.425
68,60.0,0.282,0.4288,-1.446
69,60.0,0.286,0.4287,-1.462
70,60.0,0.29,0.4287,-1.478
71,60.0,0.295,0.4287,-1.498
72,60.0,0.299,0.4287,-1.515
73,60.0,0.304,0.4286,-1.535
74,60.0,0.309,0.4286,-1.556
75,60.0,0.313,0.4286,-1.572
76,60.0,0.318,0.4285,-1.593
77,60.0,0.323,0.4285,-1.614
78,60.0,0.328,0.4285,-1.634
79,60.0,0.333,0.4285,-1.655
80,60.0,0.338,0.4284,-1.675
81,60.0,0.343,0.4284,-1.696
82,60.0,0.349,0.4284,-1.72
83,60.0,0.354,0.4283,-1.74
84,60.0,0.359,0.4283,-1.76
85,60.0,0.365,0.4283,-1.783
86,60.0,0.371,0.4282,-1.806
87,60.0,0.376,0.4282,-1.825
88,60.0,0.382,0.4282,-1.848
89,60.0,0.388,0.4281,-1.871
90,60.0,0.394,0.4281,-1.893
91,60.0,0.4,0.4281,-1.916
92,60.0,0.406,0.428,-1.939
93,60.0,0.412,0.428,-1.962
94,60.0,0.419,0.4279,-1.989
95,60.0,0.425,0.4279,-2.012
96,60.0,0.432,0.4279,-2.039
97,60.0,0.438,0.4278,-2.062
98,60.0,0.445,0.4278,-2.089
99,60.0,0.452,0.4277,-2.115
100,60.0,0.459,0.4277,-2.141
101,60.0,0.466,0.4277,-2.167
102,60.0,0.473,0.4276,-2.193
103,60.0,0.48,0.4276,-2.219
104,60.0,0.488,0.4275,-2.247
105,60.0,0.495,0.4275,-2.272
106,60.0,0.503,0.4274,-2.3
107,60.0,0.51,0.4274,-2.324
108,60.0,0.518,0.4273,-2.352
109,60.0,0.526,0.4273,-2.38
110,60.0,0.534,0.4272,-2.408
111,60.0,0.542,0.4272,-2.436
112,60.0,0.551,0.4271,-2.467
113,60.0,0.559,0.4271,-2.495
114,60.0,0.568,0.427,-2.527
115,60.0,0.576,0.427,-2.555
116,60.0,0.585,0.4269,-2.586
117,60.0,0.594,0.4269,-2.617
118,60.0,0.603,0.4268,-2.648
119,60.0,0.613,0.4267,-2.682
120,60.0,0.622,0.4267,-2.713
121,60.0,0.632,0.4266,-2.746
122,60.0,0.641,0.4266,-2.776
123,60.0,0.651,0.4265,-2.809
124,60.0,0.661,0.4265,-2.841
125,60.0,0.671,0.4264,-2.873
126,60.0,0.682,0.4263,-2.908
127,60.0,0.692,0.4263,-2.939
128,60.0,0.703,0.4262,-2.973
129,60.0,0.713,0.4261,-3.004
130,60.0,0.724,0.4261,-3.039
131,60.0,0.736,0.426,-3.076
132,60.0,0.747,0.4259,-3.111
133,60.0,0.758,0.4259,-3.145
134,60.0,0.77,0.4258,-3.183
135,60.0,0.782,0.4257,-3.22
136,60.0,0.794,0.4256,-3.257
137,60.0,0.806,0.4255,-3.294
138,60.0,0.818,0.4255,-3.331
139,60.0,0.831,0.4254,-3.37
140,60.0,0.844,0.4253,-3.41
141,60.0,0.857,0.4252,-3.449
142,60.0,0.87,0.4252,-3.487
